year,open,close,period,next_open,cum_days,time_steps,G_menardii,G_siponifera,O_universa,G_saculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis,G_tumida,G_ungulata,H_pelagica,G_scitula,S_dehiscens,G_tenellus,G_rubescens,B_digitata,D_anfracta,C_nitida
2008,14/01/08,21/01/08,7,0,7,1,0,4.57,0,9.14,6.86,0,30.29,8,27.43,0.57,1.71,137.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,21/01/08,28/01/08,7,0,14,2,7.43,13.71,1.71,18.29,7.43,0.57,33.71,28,23.43,7.43,6.86,452.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,28/01/08,04/02/08,7,0,21,3,7.43,22.86,2.29,8,5.71,1.14,71.43,29.71,32,0,6.29,245.14,1.14,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,04/02/08,11/02/08,7,0,28,4,1.71,18.86,0.57,4.57,8,1.14,38.86,31.43,64,1.14,5.71,346.29,1.71,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,11/02/08,18/02/08,7,0,35,5,0.57,11.43,2.29,10.86,2.29,1.14,6.86,8.57,36,0,0.57,95.43,0,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,18/02/08,25/02/08,7,0,42,6,2.29,11.43,2.29,16.57,18.29,1.14,8,18.29,40,1.71,5.71,110.86,1.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,25/02/08,03/03/08,7,0,49,7,1.71,4.57,5.14,23.43,9.14,0.57,1.71,5.71,18.29,2.29,0.57,74.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,03/03/08,10/03/08,7,0,56,8,0.57,47.43,21.14,127.43,32.57,4.57,1.71,28.57,9.14,2.29,10.29,57.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,10/03/08,17/03/08,7,0,63,9,11.43,25.71,7.43,24.57,16,5.71,1.14,29.71,14.86,0.57,28.57,23.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,17/03/08,24/03/08,7,0,70,10,62.86,26.86,18.86,49.71,31.43,3.43,3.43,32.57,6.29,2.29,16,4.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,24/03/08,31/03/08,7,0,77,11,29.71,7.43,33.14,64.57,23.43,2.86,1.71,13.71,11.43,4,17.71,2.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
