"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal"
2008,2008-01-14,2008-01-20,6,1,6,0,4.57,0,9.14,6.86,0,30.29,8,27.43,0.57,1.71,137.71,0,0
2008,2008-01-21,2008-01-27,6,1,13,7.43,13.71,1.71,18.29,7.43,0.57,33.71,28,23.43,7.43,6.86,452.57,0,0
2008,2008-01-28,2008-02-03,6,1,20,7.43,22.86,2.29,8,5.71,1.14,71.43,29.71,32,0,6.29,245.14,1.14,1.71
2008,2008-02-04,2008-02-10,6,1,27,1.71,18.86,0.57,4.57,8,1.14,38.86,31.43,64,1.14,5.71,346.29,1.71,0.57
2008,2008-02-11,2008-02-17,6,1,34,0.57,11.43,2.29,10.86,2.29,1.14,6.86,8.57,36,0,0.57,95.43,0,0.57
2008,2008-02-18,2008-02-24,6,1,41,2.29,11.43,2.29,16.57,18.29,1.14,8,18.29,40,1.71,5.71,110.86,1.71,0
2008,2008-02-25,2008-03-02,6,1,48,1.71,4.57,5.14,23.43,9.14,0.57,1.71,5.71,18.29,2.29,0.57,74.29,0,0
2008,2008-03-03,2008-03-09,6,1,55,0.57,47.43,21.14,127.43,32.57,4.57,1.71,28.57,9.14,2.29,10.29,57.71,0,0
2008,2008-03-10,2008-03-16,6,1,62,11.43,25.71,7.43,24.57,16,5.71,1.14,29.71,14.86,0.57,28.57,23.43,0,0
2008,2008-03-17,2008-03-23,6,1,69,62.86,26.86,18.86,49.71,31.43,3.43,3.43,32.57,6.29,2.29,16,4.57,0,0
2008,2008-03-24,2008-03-30,6,1,76,29.71,7.43,33.14,64.57,23.43,2.86,1.71,13.71,11.43,4,17.71,2.86,0,0
2008,2008-03-31,2008-04-06,6,1,83,9.14,49.71,40,86.29,12,0.57,0.57,9.14,8.57,1.71,4.57,0.57,0,0
2008,2008-04-07,2008-04-13,6,1,90,2.29,17.71,8.57,10.29,4.57,2.29,0,5.71,4,0.57,2.29,2.29,0,0
2008,2008-04-14,2008-04-19,5,2,96,5.67,9.67,12.67,9.33,25.33,2,1,3,7.67,30,4.67,4,0,0
2008,2008-04-21,2008-04-27,6,1,104,37.43,8.86,26.57,85.71,36.57,13.43,1.43,7.14,9.71,30.86,16.57,4,0,0
2008,2008-04-28,2008-05-04,6,1,111,1.14,26.29,31.43,57.14,15.43,2.86,0,2.29,13.14,9.14,2.29,5.71,0,0
2008,2008-05-05,2008-05-11,6,1,118,0.57,10.57,9.71,10,18.86,6.29,0.29,1.71,13.14,2.29,1.71,0.86,0,0
2008,2008-05-12,2008-05-18,6,1,125,1.71,2.86,2.29,4.57,0.57,0.57,0,0.57,3.43,1.14,0,4,0,0
2008,2008-05-19,2008-05-25,6,1,132,8.57,14.29,24,37.14,34.29,9.14,0.57,2.29,8.57,7.43,0,9.71,0,0
2008,2008-05-26,2008-06-01,6,1,139,1.71,11.43,8.57,9.14,42.86,2.57,0.29,2.29,8.29,3.71,1.14,2.57,0,0
2008,2008-06-02,2008-06-08,6,1,146,0.57,10.86,4,3.43,24.57,9.71,0.57,1.14,9.14,1.71,1.14,1.71,0,0
2008,2008-06-09,2008-06-15,6,1,153,1.14,14.29,13.71,5.14,20,1.71,0,1.14,12,4,0,1.71,0,0
2008,2008-06-16,2008-06-22,6,1,160,0.57,4,2.29,3.43,10.29,4.57,0,0,8,1.71,0.57,1.71,0,0
2008,2008-06-23,2008-06-29,6,1,167,0.57,1.14,2.29,5.71,6.86,3.43,0.57,0.57,4.57,6.29,0,1.71,0,0
2008,2008-06-30,2008-07-06,6,1,174,0,3.43,2.29,2.86,14.29,2.86,0,0,5.14,3.43,1.14,0,0,0
2008,2008-07-07,2008-07-13,6,1,181,0,2.29,0,2.86,10.86,1.71,0,0,4,0.57,0.57,0.57,0,0
2008,2008-07-14,2008-07-20,6,1,188,1.43,11.71,16,18.29,102,9.71,0,5.14,6.86,7.71,1.71,0.29,0,0
2008,2008-07-21,2008-07-27,6,4,195,1.43,5.71,16.29,17.43,80.57,2.86,0.29,4.57,5.43,5.43,4,0.86,0,0
2008,2008-07-31,2008-08-06,6,1,205,0.57,18.86,7.43,59.43,83.43,2.29,0,20,1.71,7.43,5.71,0.57,0,0
2008,2008-08-07,2008-08-13,6,1,212,0.29,11.43,16.57,14.29,31.43,2.86,0,5.14,5.14,3.43,0.29,0.29,0,0
2008,2008-08-14,2008-08-20,6,1,219,0.86,4.86,7.71,7.43,19.71,0.86,0,3.71,4.57,1.71,2.29,0,0,0.29
2008,2008-08-21,2008-08-27,6,1,226,0.57,5.71,2,4,22.86,2.29,0,1.71,4.57,2.86,1.71,0.29,0,0
2008,2008-08-28,2008-09-03,6,1,233,0,15.43,0.57,4.86,14.57,2.29,0,1.43,16.29,5.14,0.86,0,0,0
2008,2008-09-04,2008-09-10,6,1,240,0,6.57,1.71,6,26.86,5.43,0,2,8.57,6.57,0.57,0,0,0
2008,2008-09-11,2008-09-17,6,1,247,0.29,7.43,5.71,15.71,30.57,1.43,0.29,2.29,6.57,3.43,0,0.29,0,0
2008,2008-09-18,2008-09-24,6,1,254,5.14,3.43,2.57,10.86,12,3.14,6,25.14,3.14,3.71,4.29,0.29,0.29,0
